Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
North America,NAC,13997.45135,13416.44211,13656.36018,13689.79476,13767.52739,14020.75967,13871.17152,13955.33063,13930.97064,13164.36452,13579.74638,13480.7464,13194.50092,13270.35554,13243.5268
Namibia,NAM,994.0729454,1028.136177,1063.630808,1106.449169,1380.132071,1451.139555,1540.568965,1549.582555,1589.935315,1541.852282,1546.588624,1567.957697,1610.029268,1631.757982,1584.568822
Niger,NER,32.67866487,30.75099711,30.39488278,29.78619517,33.51867127,36.7149005,34.88520856,39.13190438,39.2684124,42.68393281,44.32111917,47.525186,49.51602317,48.46314836,51.44081546
Nigeria,NGA,74.4491249,75.52798212,104.6035917,101.8696822,123.5656488,129.257719,111.693028,138.8363146,127.1787957,120.5747217,136.3616921,150.1316244,156.7329688,142.6764793,144.4799245
Nicaragua,NIC,347.736411,346.6156938,355.5867336,370.9301436,396.632354,416.9665802,429.7081342,464.1345168,477.9689217,484.0661415,514.1412369,537.03455,579.5367381,598.0745565,580.4791722
Netherlands,NLD,6507.105925,6599.26537,6641.740762,6695.715124,6882.970221,6912.372085,7025.834479,7157.378577,7173.046299,6856.281897,7006.273821,7060.053768,6876.589753,6833.911435,6712.774758
Norway,NOR,24993.7263,25590.68943,24620.33613,23201.39413,24214.10698,25083.21453,24099.93226,24855.00046,24866.13431,23859.70958,24890.92401,23510.38383,24070.98592,23806.88488,22999.9346
Nepal,NPL,59.30690697,64.97866444,67.97918876,70.90003324,74.75468944,77.37822903,84.23083829,88.19429692,84.07659219,97.45297342,102.5047536,114.6113057,118.01117,131.4260946,139.1436806
New Zealand,NZL,9384.348187,9417.343126,9526.655692,9407.032181,9666.299694,9673.673771,9700.090809,9640.607983,9556.317198,9403.848836,9601.903142,9458.485401,9360.949162,9089.619774,9026.321041
OECD members,OED,7971.459217,7875.560536,7997.773128,8061.393784,8169.702278,8307.451553,8310.068624,8391.064627,8346.319755,7960.740774,8279.732959,8189.809667,8114.501499,8085.22313,7994.744058
Oman,OMN,3201.952741,3436.048749,3522.706096,3550.983019,3830.655965,3923.912572,4209.073899,4378.160722,4776.706461,5239.439434,5521.032662,5879.031331,6236.427177,6296.408361,6553.519696
Pakistan,PAK,372.399485,378.1882524,384.7867669,409.8213013,429.1077813,463.0573335,486.7913695,480.986525,442.7093755,458.8398247,465.1613235,455.3224139,450.3811453,481.8763388,471.0415689
Panama,PAN,1266.521623,1289.128597,1324.118485,1359.539869,1424.053101,1455.052072,1477.930543,1571.888643,1626.724698,1639.387772,1744.884061,1824.001519,1954.180005,2016.953665,2062.763545
Peru,PER,680.1883968,706.0562698,740.8238049,764.9862806,802.8395941,837.2928906,887.6225298,968.128767,1039.453278,1040.635578,1094.314271,1241.667126,1211.314738,1267.596676,1307.510966
Philippines,PHL,499.3488463,518.8832806,522.3838216,555.5692451,575.4707987,576.6495507,568.2533898,582.3828814,585.5637301,590.1266675,639.540799,645.4379681,666.4936315,685.6650324,699.2050698
